NAM	PRO	DAY	MON	YEA	HOU	TMZ	LAT	LON	PLA
Wegman William	AR	12	02	1943	04:00	4h	42N12	72W37	Holyoke, MA
Weinberger Caspar	PO	18	08	1917	15:10	8h	37N47	122W25	San Francisco, CA
Weisner Maurice	MI	20	11	1917	21:00	6h	35N58	83W55	Knoxville, TN
Welch Raquel	AC	05	09	1940	14:04	5h	41N52	87W39	Chicago, IL
Welles Orson	AC	06	05	1915	07:00	6h	42N35	87W49	Kenosha, WI
Wells Mary	EX	25	05	1928	11:30	5h	41N6	80W39	Youngstown, OH
Werner Wallace	SP	26	02	1936	22:00	7h	40N29	106W50	Steamboat Springs, CO
Wescott Glenway	WR	11	04	1901	17:00	6h	43N31	88W14	Kewaskum, WI
Wesselmann Tom	AR	23	02	1931	08:00	5h	39N6	84W31	Cincinnati, OH
Westermann Horace	WR	11	12	1922	09:35	8h	34N4	118W15	Los Angeles, CA
Weyand Frederick	MI	15	09	1916	13:00	8h	39N1	122W3	Arbuckle, CA
Weyerhaeuser George	EX	08	07	1926	07:11	8h	47N36	122W20	Seattle, WA
Whitaker Johnny	AC	13	12	1959	00:14	8h	34N11	118W26	Van Nuys, CA
White Byron	SP	09	06	1917	06:00	7h	40N35	105W5	Fort Collins, CO
White Edward	MI	14	11	1930	06:20	6h	29N25	98W30	San Antonio, TX
White Jo	SP	14	11	1946	02:59	6h	38N37	90W12	St Louis, MO
Whitman Stuart	AC	01	02	1928	09:25	8h	37N47	122W25	San Francisco, CA
Whitworth Kathy	SP	27	09	1939	03:00	6h	31N36	102W54	Monahans, TX
Wicker Tom	WR	18	06	1926	09:40	5h	35N53	79W42	Hamlet, NC
Widmark Richard	AC	26	12	1914	00:45	6h	45N33	92W51	Sunrise, MN
Wieseman Frederick	MI	16	03	1908	16:45	6h	43N2	87W55	Milwaukee, WI
Wilcox David	SP	29	09	1942	15:00	6h	44N2	116W58	Ontario, OR
Wilhelm James	SP	26	07	1922	02:30	5h	35N25	80W51	Huntersville, NC
Wilkinson Eugene	MI	10	08	1918	12:00	7h	33N47	118W11	Long Beach, CA
Willard Kenneth	SP	14	07	1943	17:10	4h	37N33	77W27	Richmond, VA
Williams Charles	WR	04	11	1936	00:21	5h	40N44	74W10	Newark, NJ
Williams Cindy	AC	22	08	1947	16:35	8h	34N11	118W26	Van Nuys, CA
Williams Emmett	WR	04	04	1925	10:00	5h	34N51	82W24	Greenville, SC
Williams John	PO	29	10	1909	16:30	8h	34N4	118W15	Los Angeles, CA
Williams Jonathan	WR	08	03	1929	02:15	5h	35N36	82W33	Asheville, NC
Williams Randy	SP	23	08	1953	03:29	7h	36N44	119W47	Fresno, CA
Williams Robert	EX	07	02	1913	13:40	8h	37N47	122W25	San Francisco, CA
Williams Robley	SC	13	10	1908	00:00	8h	38N26	122W43	Santa Rosa, CA
Williams Stephen	SC	28	08	1926	17:20	6h	44N59	93W16	Minneapolis, MN
Williams Theodore	SP	30	08	1918	12:20	7h	32N43	117W9	San Diego, CA
Williamson Ellis	MI	02	06	1918	06:00	4h	34N59	79W14	Raeford, NC
Wills Helen	SP	06	10	1905	02:25	8h	37N52	122W16	Berkeley, CA
Willson Zack	SP	26	02	1932	03:00	5h	40N57	83W10	Sycamore, OH
Wilson Flip	AC	08	12	1933	21:27	5h	40N44	74W4	Jersey City, NJ
Wilson Nancy	AR	20	02	1937	08:57	5h	39N20	82W59	Chillicothe, OH
Wilson Olin	SC	13	01	1909	13:00	8h	37N47	122W25	San Francisco, CA
Wilson Robert	MI	24	05	1921	23:55	6h	38N32	89W8	Centralia, IL
Wilson Robert	SC	09	01	1936	02:06	6h	29N46	95W22	Houston, TX
Winters Jonathan	AC	11	11	1925	20:23	6h	39N45	84W12	Dayton, OH
Winters Shelley	AC	18	08	1922	00:05	6h	38N37	90W12	St Louis, MO
Wisman William	MI	30	05	1918	10:00	5h	37N41	96W59	Augusta, KS
Woodruff John	SP	05	07	1915	09:00	5h	40N1	79W35	Connellsville, PA
Worden Alfred	MI	07	02	1932	12:30	5h	42N15	84W24	Jackson, MI
Wottle Dave	SP	07	08	1950	14:39	4h	40N48	81W23	Canton, OH
Wright Ernie	SP	06	11	1939	11:20	5h	41N39	83W33	Toledo, OH
Wright James	WR	13	12	1927	14:40	5h	40N6	80W44	Martin'S Ferry, OH
Wright Mickey	SP	14	02	1935	04:55	8h	32N43	117W9	San Diego, CA
Wyeth James	AR	06	07	1946	09:42	4h	39N45	75W33	Wilmington, DE
Wymore Patrice	AC	17	12	1926	23:25	6h	39N21	97W27	Miltonvale, KS
Wynn Early	SP	06	01	1920	22:00	6h	31N6	85W42	Hartford, AL
Yarborough Cale	SP	27	03	1939	07:00	5h	34N8	79W57	Timmonsville, SC
Yoder Hatten	SC	20	03	1921	21:00	5h	41N30	81W42	Cleveland, OH
Young Charles	SP	05	02	1951	03:15	8h	36N44	119W47	Fresno, CA
Young John	MI	24	09	1930	10:10	8h	37N47	122W25	San Francisco, CA
Young Loretta	AC	06	01	1913	15:30	7h	40N45	111W53	Salt Lake City, UT
Young Withney	PO	31	07	1921	04:00	6h	38N13	85W21	Lincoln Ridge, KY
Ziegler Ronald	PO	12	05	1939	06:56	5h	39N5	84W31	Covington, KY
Zimmer Paul	WR	18	09	1934	22:00	5h	40N48	81W23	Canton, OH
Zimmermann Edwin	MI	25	02	1918	06:15	6h	37N42	97W20	Wichita, KS
Zook John	SP	24	09	1947	07:46	7h	37N58	100W53	Garden City, KS
Zumwalt Elmo	MI	29	11	1920	14:35	8h	37N47	122W25	San Francisco, CA

